id,main_emotion,scenario,option1,option2,option3,option4,correct_answer,difficulty,
1,Happy,You finally get the job offer you wanted after months of searching.,Happy,Embarrassment,Relief,Angry,Happy,Easy,
2,Happy,Your best friend throws you a surprise party for your 21st birthday.,Relief,Angry,Happy,Embarrassment,Happy,Easy,
3,Relief,Finding out your final exams are cancelled this week.,Happy,Relief,Fear,Angry,Relief,Easy,
4,Happy,Hitting a new personal record at the gym after weeks of training.,Embarrassment,Angry,Happy,Relief,Happy,Easy,","
5,Happy,Your crush texts you back immediately with a flirty message.,Embarrassment,Happy,Neutral,Sad,Happy,Easy,
6,Happy,Eating your favorite meal after a very long and exhausting day.,Affection,Happy,Fear,Neutral,Happy,Easy,
7,Happy,Getting an A on a very hard paper you spent weeks writing.,Curiosity,Relief,Neutral,Happy,Happy,Easy,
8,Happy,Winning a small lottery prize that pays for your groceries.,Sad,Curiosity,Happy,Neutral,Happy,Easy,
9,Happy,Your family praises your cooking during the holiday dinner.,Curiosity,Affection,Happy,Sad,Happy,Easy,
10,Happy,Waking up well rested on a Saturday with no alarms.,Happy,Curiosity,Affection,Fear,Happy,Easy,
11,Happy,Discovering a new favorite band that matches your exact music taste.,Happy,Angry,Curiosity,Affection,Happy,Easy,
12,Happy,Booking flights for your dream vacation with your best friends.,Relief,Embarrassment,Happy,Sad,Happy,Easy,
13,Happy,A stranger compliments your outfit while you wait for the bus.,Curiosity,Happy,Neutral,Sad,Happy,Easy,
14,Affection,Seeing your dog wag its tail at you when you get home.,Neutral,Curiosity,Embarrassment,Affection,Affection,Easy,
15,Happy,Successfully fixing a broken appliance by watching a tutorial.,Sad,Happy,Angry,Neutral,Happy,Easy,
16,Happy,Receiving a random gift in the mail from an old friend.,Sad,Happy,Neutral,Fear,Happy,Easy,
17,Happy,Finishing a major project ahead of time.,Happy,Fear,Angry,Relief,Happy,Easy,
18,Happy,Enjoying a beautiful sunset alone after a stressful week.,Angry,Relief,Embarrassment,Happy,Happy,Easy,
19,Happy,Getting a free coffee at the cafe because you're a regular.,Fear,Happy,Embarrassment,Relief,Happy,Easy,
20,Happy,Your teammate credits you for the win in front of the coach.,Happy,Fear,Neutral,Angry,Happy,Easy,
21,Happy,Finding money in your old jeans that you forgot about.,Neutral,Fear,Happy,Affection,Happy,Easy,
22,Happy,Hearing your favorite song on the radio during a road trip.,Neutral,Happy,Embarrassment,Relief,Happy,Easy,
23,Happy,Getting a perfect score on a quiz you barely studied for.,Happy,Embarrassment,Sad,Curiosity,Happy,Easy,
24,Happy,Your sibling does your chores for you without being asked.,Happy,Neutral,Sad,Affection,Happy,Easy,
25,Happy,Watching a really good comedy movie that makes you laugh out loud.,Relief,Happy,Embarrassment,Curiosity,Happy,Easy,
26,Affection,A baby smiles at you on the subway.,Angry,Relief,Affection,Sad,Affection,Easy,
27,Happy,Your manager praises your work in a company-wide meeting.,Fear,Neutral,Happy,Relief,Happy,Easy,
28,Happy,Finally beating a hard video game level you've been stuck on.,Fear,Happy,Curiosity,Affection,Happy,Easy,
29,Happy,Having a great hair day when you have an important event.,Sad,Embarrassment,Angry,Happy,Happy,Easy,
30,Happy,Receiving a heartfelt thank you note from a coworker.,Angry,Happy,Affection,Fear,Happy,Easy,
31,Happy,The weather is exactly how you like it for your outdoor picnic.,Happy,Neutral,Sad,Affection,Happy,Easy,
32,Happy,Your favorite sports team wins the championship final.,Angry,Sad,Neutral,Happy,Happy,Easy,
33,Happy,Catching up with an old friend and it feels like no time passed.,Affection,Relief,Neutral,Happy,Happy,Easy,
34,Happy,Getting a massive discount at checkout unexpectedly.,Affection,Sad,Happy,Fear,Happy,Easy,
35,Relief,Completing your to-do list early and having the afternoon free.,Embarrassment,Relief,Affection,Sad,Relief,Easy,
36,Happy,Seeing a double rainbow on your drive home.,Happy,Sad,Relief,Curiosity,Happy,Easy,
37,Happy,Your indoor plant sprouts a new leaf after looking dead.,Angry,Happy,Neutral,Embarrassment,Happy,Easy,
38,Happy,Getting exactly what you wished for your birthday.,Angry,Happy,Curiosity,Sad,Happy,Easy,
39,Happy,A smooth commute with absolutely no traffic.,Happy,Affection,Fear,Angry,Happy,Easy,
40,Happy,Tasting a delicious new dessert at a local bakery.,Happy,Affection,Sad,Relief,Happy,Easy,
41,Happy,You get a promotion but with slightly more hours than expected.,Fear,Happy,Neutral,Embarrassment,Happy,Medium,
42,Happy,Someone says you inspire them to be a better person.,Embarrassment,Fear,Happy,Curiosity,Happy,Medium,
43,Happy,Your rival congratulates you genuinely on your recent success.,Relief,Happy,Sad,Curiosity,Happy,Medium,
44,Relief,Finishing a tough workout you almost skipped today.,Sad,Relief,Happy,Neutral,Relief,Medium,
