text,label
I'm struggling with feeling unloved and feel completely stressed out.,1
Can you cheer me up today?,1
I feel mentally exhausted.,1
How can I cope with severe trauma?,1
How does string theory affect our daily lives?,0
Who is the all-time top scorer in the Masters Tournament?,0
How do I install VS Code?,0
I don't feel like talking to anyone.,1
What are some effective psychological remedies for apathy?,1
Explain MySQL joins.,0
What is the main export of South Africa?,0
Can you explain the theory of thermodynamics in simple terms?,0
"My friend is dealing with burnout, how can I provide emotional support?",1
How to use GitHub?,0
I feel scared and don't know who to talk to.,1
I've been feeling extremely sad for the past few weeks.,1
I feel so exhausted every time I think about work.,1
Explain Docker in simple terms.,0
What are the rules for qualifying for the Super Bowl?,0
I feel exhausted and don't know who to talk to.,1
What should I do if I am experiencing hopelessness every night?,1
Can you recommend a good book on dealing with panic attacks?,1
Does online psychotherapy work as well as in-person sessions?,1
What are the best grounding techniques for when I feel anxious?,1
I feel like crying for no reason.,1
How to avoid git merge conflicts in a production environment?,0
Can someone give me a step-by-step guide on booking cheap flights?,0
I need help troubleshooting router connectivity drops on my server.,0
Is it normal to feel scared after communication breakdown?,1
I don't know how to deal with loneliness.,1
Does online journaling work as well as in-person sessions?,1
I can't stop crying for no reason and it's making me feel inadequate.,1
How do I fix git merge conflicts?,0
How does relativity affect our daily lives?,0
Are there any free tools for writing a resume?,0
What's the best recipe for authentic french onion soup?,0
Where is the next Wimbledon being held?,0
Help me calm my mind.,1
I think I need breathing exercises because my chronic stress is out of control.,1
Are there any daily habits to improve my panic attacks?,1
Tips for overcoming trauma in daily life?,1
I'm struggling with family conflict and feel completely empty.,1
I feel so overwhelmed every time I think about work.,1
What should I do if I am experiencing grief every night?,1
I keep getting SSL certificate errors when I run my code.,0
How to center a div in CSS?,0
Can you recommend a good book on dealing with trauma?,1
"My friend is dealing with brain fog, how can I provide emotional support?",1
Could thermodynamics explain the origins of the universe?,0
Could plate tectonics explain the origins of the universe?,0
Is photosynthesis widely accepted by modern physicists?,0
Who won the World Cup last year?,0
Which ingredients do I need to make beef stew?,0
How do I heal from feeling unloved?,1
What are the hidden costs of growing tomatoes?,0
I think I need meditation because my fear of failure is out of control.,1
How does nuclear fusion affect our daily lives?,0
I need help troubleshooting DNS resolution failures on my server.,0
How many miles is it from New York to Mexico?,0
What wine pairs best with sourdough bread?,0
I feel so empty every time I think about work.,1
Are there any free tools for starting a small business?,0
What is the traditional culture like in Argentina?,0
Can someone give me a step-by-step guide on writing a resume?,0
Tips for overcoming emotional exhaustion in daily life?,1
How to manage panic attacks without medication?,1
What's the best recipe for authentic pad thai?,0
How do I regain my confidence after experiencing trauma?,1
Can you recommend a good book on dealing with loneliness?,1
